titulo,parceiro,depositario,loc_celebracao,pais_celebracao,data,temas,status,n_registro_onu,vigor_int_em,expirou_em,pdf_url
"Programa Executivo entre a República Federativa do Brasil e a Organização das Nações Unidas para a Alimentação e a Agricultura, fundamentado no Acordo Básico de Assistência Técnica entre a República Federativa do Brasil e a Organização das Nações Unidas, suas Agências Especializadas e a AIEA para implementar o projeto “Consolidação da Organização Produtiva e Socioeconômica da Agricultura Familiar no Brasil” – UTF/BRA/089/BRA",FAO (Org. das Nações Unidas para Agricultura e Alimentação ),NA,Brasília,Brasil,27/10/2020,Agricultura; Cooperação Técnica,Tramitação MRE,NA,27/10/2020,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30715
"Ajuste Complementar entre a República Federativa do Brasil e a Organização dos Estados Ibero-Americanos para a Educação, a Ciência e a Cultura (OEI) para Prestação de Cooperação Técnica na Área de Museologia",OEI - Org. dos Est. Ibero-Amer. p/ Educ. Ciênc. e Cult.,NA,Brasília,Brasil,26/06/2020,Cooperação Técnica,Em Vigor,NA,26/06/2020,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30674
"Ajuste Complementar, por Troca de Notas, ao Acordo Básico de Cooperação Técnica entre o Governo do Japão e o Governo da República Federativa do Brasil, assinado em Brasília em 22 de setembro de 1970, referente ao Projeto para o Aperfeiçoamento do Controle de Desmatamento Ilegal por meio de Tecnologias Avançadas SAR e AI na Amazônia Brasileira",Japão,NA,Brasília,Brasil,08/01/2021,Cooperação Técnica,Em Vigor,NA,08/01/2021,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30657
"Ajuste Complementar, por Troca de Notas, ao Acordo Básico entre os dois Governos referente ao Projeto de Desenvolvimento de Sensores e Plataforma de Agricultura de Precisão em Apoio à Agricultura Sustentável Brasileira",Japão,NA,Brasília,Brasil,08/01/2021,Cooperação Técnica,Em Vigor,NA,08/01/2021,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30656
"Ajuste Complementar, por Troca de Notas, ao Acordo Básico de Cooperação Técnica entre o Governo do Japão e o Governo da República Federativa do Brasil, assinado em Brasília em 22 de setembro de 1970, referente ao Projeto de Aprimoramento da Capacidade Técnica em Medidas Estruturais contra Movimentos Gravitacionais de Massa com Foco na Construção de Cidades Resilientes",Japão,NA,Brasília,Brasil,08/01/2021,Cooperação Técnica,Tramitação MRE,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30655
Memorando de Cooperação entre o Governo da República Federativa do Brasil e o Governo do Japão no Campo de Tecnologias Relacionadas à Produção e ao Uso de Nióbio e Grafeno.,Japão,NA,Brasília,Brasil,08/01/2021,Recursos Naturais; Cooperação Científica e Tecnológica,Em Vigor,NA,08/01/2021,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30641
Memorando de Cooperação de Tomé-Açu entre o Ministério das Relações Exteriores da República Federativa do Brasil e o Ministério dos Negócios Estrangeiros do Japão sobre o Uso Sustentável da Biodiversidade da Amazônia,Japão,NA,Brasília,Brasil,08/01/2021,Meio Ambiente; Cooperação Científica e Tecnológica,Em Vigor,NA,08/01/2021,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30640
Acordo entre a República Federativa do Brasil e a República Tcheca sobre a Previdência Social,República Tcheca,NA,Brasília,Brasil,09/12/2020,Previdência Social,Tramitação MRE,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30619
Acordo Complementar ao Acordo Básico de Cooperação Científica e Técnica entre o Governo da República Federativa do Brasil e o Governo da República do Suriname para a Execução do Projeto “Apoio à Criação do Centro de Resposta aos Incidentes de Segurança Cibernética no Suriname”,Suriname,NA,Paramaribo,Suriname,24/11/2020,Cooperação Técnica,Em Vigor,NA,24/11/2020,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30617
"Acordo Complementar ao Acordo Básico de Cooperação Científica e Técnica entre o Governo da República Federativa do Brasil e o Governo da República do Suriname para a Execução do Projeto “Fortalecimento da Vigilância em Saúde das Doenças de Transmissão Vetorial: Malária, Chagas e Leishmaniose”",Suriname,NA,Paramaribo,Suriname,24/11/2020,Cooperação Técnica,Em Vigor,NA,24/11/2020,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30616
